time,gFx,gFy,gFz,TgF
0.516000,0.0061,1.0007,0.0213,1.001
0.517000,0.0051,1.0010,0.0225,1.001
0.517000,0.0046,1.0019,0.0215,1.002
0.519000,0.0078,1.0017,0.0225,1.002
0.519000,0.0061,1.0007,0.0225,1.001
0.520000,0.0054,1.0049,0.0205,1.005
0.520000,0.0064,1.0036,0.0188,1.004
0.522000,0.0054,1.0010,0.0191,1.001
0.522000,0.0061,0.9995,0.0171,1.000
0.522000,0.0064,0.9997,0.0183,1.000
0.523000,0.0061,1.0010,0.0195,1.001
0.524000,0.0049,1.0024,0.0203,1.003
0.524000,0.0046,1.0010,0.0222,1.001
0.526000,0.0046,1.0007,0.0217,1.001
0.527000,0.0046,1.0002,0.0213,1.000
0.529000,0.0039,0.9934,0.0222,0.994
0.531000,0.0120,0.9961,0.0191,0.996
0.533000,0.0186,1.0054,0.0198,1.006
0.537000,0.0066,1.0119,0.0186,1.012
0.538000,0.0066,1.0119,0.0186,1.012
0.540000,-0.0002,0.9992,0.0129,0.999
0.542000,0.0017,0.9980,0.0103,0.998
0.543000,0.0044,0.9990,0.0107,0.999
0.545000,0.0078,1.0036,0.0173,1.004
0.546000,0.0112,1.0049,0.0198,1.005
0.549000,0.0103,1.0022,0.0242,1.003
0.553000,0.0098,0.9997,0.0237,1.000
0.554000,0.0098,0.9978,0.0222,0.998
0.556000,0.0083,1.0014,0.0195,1.002
0.558000,0.0061,1.0024,0.0193,1.003
0.561000,0.0056,1.0036,0.0181,1.004
0.562000,0.0049,0.9990,0.0164,0.999
0.563000,0.0044,0.9983,0.0142,0.998
0.565000,0.0049,1.0007,0.0147,1.001
0.567000,0.0068,1.0049,0.0149,1.005
0.578000,0.0068,1.0029,0.0129,1.003
0.579000,0.0061,1.0034,0.0142,1.004
0.579000,0.0073,1.0022,0.0151,1.002
0.580000,0.0071,1.0019,0.0147,1.002
0.580000,0.0073,1.0014,0.0142,1.002
0.580000,0.0064,1.0010,0.0151,1.001
0.581000,0.0046,1.0010,0.0176,1.001
0.583000,0.0046,1.0007,0.0200,1.001
0.586000,0.0049,0.9985,0.0200,0.999
0.588000,0.0046,0.9922,0.0210,0.992
0.590000,0.0078,0.9936,0.0191,0.994
0.591000,0.0137,1.0090,0.0198,1.009
0.594000,0.0068,1.0139,0.0203,1.014
0.596000,0.0010,1.0002,0.0159,1.000
0.598000,-0.0024,0.9968,0.0154,0.997
0.600000,0.0027,0.9970,0.0171,0.997
0.619000,0.0046,0.9975,0.0181,0.998
0.620000,0.0086,1.0034,0.0200,1.004
0.620000,0.0088,1.0036,0.0213,1.004
0.620000,0.0066,1.0005,0.0237,1.001
0.621000,0.0059,0.9968,0.0220,0.997
0.621000,0.0061,0.9985,0.0217,0.999
0.621000,0.0046,0.9997,0.0195,1.000
0.621000,0.0049,1.0029,0.0195,1.003
0.622000,0.0046,1.0014,0.0171,1.002
0.622000,0.0046,0.9975,0.0154,0.998
0.622000,0.0049,0.9966,0.0159,0.997
0.624000,0.0081,0.9980,0.0154,0.998
0.625000,0.0066,0.9992,0.0151,0.999
0.627000,0.0061,0.9997,0.0161,1.000
0.629000,0.0051,0.9995,0.0200,1.000
0.632000,0.0046,1.0014,0.0210,1.002
0.638000,0.0046,1.0029,0.0210,1.003
0.640000,0.0064,0.9997,0.0215,1.000
0.641000,0.0059,0.9997,0.0215,1.000
0.642000,0.0051,1.0005,0.0239,1.001
0.644000,0.0054,1.0007,0.0242,1.001
0.645000,0.0051,1.0002,0.0217,1.000
0.646000,0.0066,1.0005,0.0176,1.001
0.647000,0.0076,1.0005,0.0181,1.001
0.649000,0.0061,1.0014,0.0164,1.002
0.653000,0.0046,1.0007,0.0166,1.001
0.655000,0.0059,1.0012,0.0169,1.001
0.657000,0.0068,1.0014,0.0186,1.002
0.658000,0.0068,1.0014,0.0186,1.002
0.660000,0.0064,1.0012,0.0210,1.001
0.662000,0.0061,1.0034,0.0200,1.004
0.663000,0.0051,1.0024,0.0217,1.003
0.665000,0.0064,1.0010,0.0200,1.001
0.667000,0.0061,1.0032,0.0198,1.003
0.671000,0.0064,1.0017,0.0208,1.002
0.672000,0.0054,1.0034,0.0205,1.004
0.674000,0.0068,1.0036,0.0210,1.004
0.676000,0.0066,1.0019,0.0193,1.002
0.677000,0.0056,1.0014,0.0181,1.002
0.679000,0.0056,1.0012,0.0176,1.001
0.681000,0.0051,1.0012,0.0171,1.001
0.683000,0.0046,1.0012,0.0161,1.001
0.696000,0.0056,1.0012,0.0166,1.001
0.697000,0.0049,0.9992,0.0171,0.999
0.697000,0.0046,1.0007,0.0171,1.001
0.698000,0.0049,1.0007,0.0186,1.001
0.698000,0.0059,1.0005,0.0178,1.001
0.698000,0.0054,0.9997,0.0200,1.000
0.699000,0.0054,0.9990,0.0191,0.999
0.699000,0.0056,0.9992,0.0200,0.999
0.701000,0.0044,0.9941,0.0215,0.994
0.703000,0.0071,0.9926,0.0188,0.993
0.706000,0.0142,1.0000,0.0178,1.000
0.707000,0.0173,1.0151,0.0195,1.015
0.709000,0.0127,1.0141,0.0181,1.014
0.711000,0.0059,1.0005,0.0142,1.001
0.713000,0.0029,0.9944,0.0122,0.994
0.716000,0.0061,0.9978,0.0151,0.998
0.717000,0.0076,0.9978,0.0156,0.998
0.731000,0.0090,1.0019,0.0188,1.002
0.732000,0.0066,1.0017,0.0239,1.002
0.732000,0.0064,1.0005,0.0249,1.001
0.732000,0.0076,0.9970,0.0235,0.997
0.733000,0.0100,0.9983,0.0213,0.999
0.733000,0.0081,1.0017,0.0191,1.002
0.733000,0.0061,1.0027,0.0173,1.003
0.734000,0.0046,1.0017,0.0166,1.002
0.740000,0.0039,1.0022,0.0156,1.002
0.741000,0.0042,1.0007,0.0142,1.001
0.741000,0.0066,1.0039,0.0137,1.004
0.742000,0.0073,1.0039,0.0142,1.004
0.744000,0.0066,1.0010,0.0154,1.001
0.745000,0.0059,1.0012,0.0144,1.001
0.747000,0.0049,0.9983,0.0164,0.998
0.750000,0.0012,0.9861,0.0147,0.986
0.752000,0.0068,0.9875,0.0154,0.988
0.755000,0.0195,1.0051,0.0186,1.005
0.756000,0.0171,1.0161,0.0225,1.016
0.757000,0.0120,1.0127,0.0213,1.013
0.759000,0.0034,0.9970,0.0144,0.997
0.762000,0.0017,0.9941,0.0120,0.994
0.763000,0.0054,0.9985,0.0134,0.999
0.765000,0.0098,1.0080,0.0161,1.008
0.767000,0.0088,1.0093,0.0186,1.009
0.778000,0.0056,1.0066,0.0210,1.007
0.780000,0.0054,0.9990,0.0208,0.999
0.780000,0.0056,0.9988,0.0191,0.999
0.781000,0.0093,0.9968,0.0156,0.997
0.781000,0.0081,0.9963,0.0156,0.996
0.781000,0.0061,0.9958,0.0188,0.996
0.782000,0.0081,0.9988,0.0171,0.999
0.783000,0.0064,1.0012,0.0166,1.001
0.786000,0.0078,1.0017,0.0193,1.002
0.788000,0.0081,1.0049,0.0195,1.005
0.790000,0.0068,1.0039,0.0208,1.004
0.791000,0.0081,1.0036,0.0195,1.004
0.793000,0.0076,1.0051,0.0208,1.005
0.795000,0.0051,1.0041,0.0225,1.004
0.797000,0.0081,1.0036,0.0217,1.004
0.799000,0.0105,1.0036,0.0208,1.004
0.802000,0.0083,1.0054,0.0200,1.006
0.811000,0.0059,1.0029,0.0217,1.003
0.812000,0.0049,1.0022,0.0205,1.002
0.813000,0.0078,0.9990,0.0208,0.999
0.814000,0.0083,1.0012,0.0203,1.001
0.815000,0.0100,1.0027,0.0183,1.003
0.815000,0.0081,1.0017,0.0171,1.002
0.816000,0.0083,1.0007,0.0156,1.001
0.817000,0.0068,1.0014,0.0149,1.002
0.822000,0.0046,1.0012,0.0144,1.001
0.823000,0.0054,1.0017,0.0147,1.002
0.824000,0.0095,1.0051,0.0139,1.005
0.825000,0.0081,1.0036,0.0151,1.004
0.827000,0.0046,1.0036,0.0205,1.004
0.829000,0.0046,1.0044,0.0222,1.005
0.831000,0.0049,1.0029,0.0266,1.003
0.833000,0.0059,1.0019,0.0286,1.002
0.838000,0.0100,1.0027,0.0293,1.003
0.839000,0.0078,1.0010,0.0271,1.001
0.840000,0.0083,1.0014,0.0254,1.002
0.841000,0.0049,0.9980,0.0237,0.998
